epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,237.547,1.28143,2.28351,1.31131,0.67891,0.27434,0.57205,0.37265,0.93307,2.47665,0.93049,0.00065641,0.00065641,0.00065641
2,471.817,1.36776,1.59765,1.36425,0.65041,0.69912,0.68163,0.44802,1.13322,1.55114,1.22335,0.00106111,0.00106111,0.00106111
3,704.756,1.32013,1.4821,1.3595,0.6991,0.66372,0.71048,0.50948,0.9063,1.37024,1.07466,0.00120181,0.00120181,0.00120181
4,934.295,1.2663,1.35425,1.31251,0.7163,0.76991,0.76879,0.52394,1.15668,1.36649,1.20955,0.000812,0.000812,0.000812
5,1163.96,1.22294,1.2891,1.29275,0.67576,0.80531,0.77009,0.58767,0.8611,1.17768,1.04988,0.000416,0.000416,0.000416
